page_title,subsection_title,table_name,layer,field_name,field_type,comment
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,transaction_date,varchar(100),交易时间
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,currency_code,varchar(80),币种代码
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,accounting_date,varchar(100),入账日期
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,payment_amount,"decimal(20,2)",付款金额
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,receipt_amount,"decimal(20,2)",收款金额
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,account_balance,"decimal(20,2)",账户余额
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,cust_bank,varchar(80),对方银行
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,cust_account_number,varchar(80),对方账号
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,cust_account_name,varchar(150),对方户名
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,business_type,varchar(30),业务类型：R收入，P支出
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,business_uses,varchar(240),用途
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,description,varchar(240),摘要
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,postscript,varchar(240),附言
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,attribute_category,varchar(30),收款分类
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,attribute1,varchar(150),系统ID
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,attribute2,varchar(150),交易类型
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,attribute3,varchar(150),本方银行名称
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,attribute4,varchar(150),
2.净现金流,2.5 FineDataLink数仓,odm_hsca_flow_detail_info_his,ODM,customer_category_name,varchar(100),对方类型
2.净现金流,2.5 FineDataLink数仓,idm_fin_bank_accounts_a_d,IDM,stat_date,date,日期
