page_title,subsection_title,source_table_id,指标名称,统计维度,统计频率,数据来源方式,来源系统,系统表名
1.首页,1.1指标清单,1,友盟单价,国内,日/月,系统取数,大数据中心,ods_channel_consumption_hand_copy_report_d
1.首页,1.1指标清单,1,日均活跃渗透率,国内,月,手工上传,,sdm_penetration_rate_a_d
1.首页,1.1指标清单,1,日均安装渗透率,国内,月,手工上传,,sdm_penetration_rate_a_d
1.首页,1.1指标清单,1,FW国际综合排名,国际,月,手工上传,,sdm_penetration_rate_a_d
1.首页,1.1指标清单,1,品牌声量占比,国内,日/月,系统取数,大数据中心,baidu_search_index
1.首页,1.1指标清单,1,广告营收占比,国内,月,手工上传,,sdm_penetration_rate_a_d
1.首页,1.1指标清单,1,新增用户占比,国内,周,手工上传,,sdm_user_share_a_d
1.首页,1.1指标清单,1,现金结余,国内,日/月,系统取数,大数据中心,
1.首页,1.1指标清单,1,同类赛道媒体机会,国内,月累/年累,手工上传,,odm_arket_overall_budget_a_d
1.首页,1.1指标清单,1,同类赛道媒体目标市场,国内,月累/年累,手工上传,,odm_arket_overall_budget_a_d
1.首页,1.1指标清单,1,同类赛道媒体目标客户,国内,月累/年累,手工上传,,odm_arket_overall_budget_a_d
1.首页,1.1指标清单,1,客户关系建立,国内,月累/年累,系统取数,大数据中心,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,获取销售机会,国内,月累/年累,系统取数,大数据中心,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,提案反馈,国内,月累/年累,系统取数,大数据中心,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,排期沟通,国内,月累/年累,系统取数,大数据中心,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,需求确认,国内,月累/年累,系统取数,大数据中心,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,确认下单,国内,月累/年累,系统取数,结算中台,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,应收账款,国内,月累/年累,系统取数,结算中台,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,回款金额,国内,月累/年累,系统取数,结算中台,销售机会数据表 ad_xsy_crm.ad_xsy_crm_custom_entity3 ad_xsy_crm.ad_xsy_crm_entity_type ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_department ad_xsy_crm.ad_xsy_crm_opportunity ad_xsy_crm.ad_xsy_crm_field_enum ad_xsy_crm.ad_xsy_crm_user ad_xsy_crm.ad_xsy_crm_account ad_xsy_crm.ad_xsy_crm_custom_entity1 ad_xsy_crm.ad_xsy_crm_stage ad_xsy_crm.ad_xsy_crm_custom_entity4 ad_xsy_crm.ad_xsy_crm_contact 广告开票回款情况 hsar_cust_rec_headers moji_ads_monthly_record_initial moji_invoice_associated moji_invoice_req_headers moji_invoice_headers hsbm_receipt_lines hsbm_receipt_headers hsbm_payment_lines hsbm_payment_headers hspm_rule hspm_rule_data
1.首页,1.1指标清单,1,市场需求,国内,年累,手工上传,,odm_tob_order_goal_a_d
1.首页,1.1指标清单,1,客户关系建立,国内,年累,系统取数,CRM系统,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
1.首页,1.1指标清单,1,客户需求确认,国内,年累,系统取数,CRM系统,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
1.首页,1.1指标清单,1,方案反馈,国内,年累,系统取数,CRM系统,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
1.首页,1.1指标清单,1,客户确认,国内,年累,系统取数,CRM系统,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
1.首页,1.1指标清单,1,签单,国内,年累,系统取数,结算中台,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
1.首页,1.1指标清单,1,已开票,国内,年累,系统取数,结算中台,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
1.首页,1.1指标清单,1,已回款,国内,年累,系统取数,结算中台,api获取销售易表 机会表：opportunity 合同表：contract 签单表：tob_order_signing_sheet
2.净现金流,2.1指标清单,7,净现金流,,日/月,系统取数,见知,现金流水详情表 （银行流水明细）
2.净现金流,2.1指标清单,7,现金流入,收付款分类,日/月,系统取数,见知,现金流水详情表 （银行流水明细）
2.净现金流,2.1指标清单,7,现金流出,收付款分类,日/月,系统取数,见知,现金流水详情表 （银行流水明细）
2.净现金流,2.1指标清单,7,TOP10现金流入排行,,日/月,系统取数,见知,现金流水详情表 （银行流水明细）
2.净现金流,2.1指标清单,7,TOP10现金流出排行,,日/月,系统取数,见知,现金流水详情表 （银行流水明细）
2.净现金流,2.1指标清单,7,资产类现金合计,,日/月,系统取数,见知,
2.净现金流,2.1指标清单,7,资产-应收汇票,,日/月,手工统计,见知,无
2.净现金流,2.1指标清单,7,资产-可用资金,,日/月,系统取数,见知,银行账户余额表
2.净现金流,2.1指标清单,7,资产-投资理财,,日/月,系统取数,见知,资金台账-投资理财
2.净现金流,2.1指标清单,7,账户理财余额,,日/月,系统取数,见知,资金台账-投资理财
2.净现金流,2.1指标清单,7,负债类现金合计,,日/月,系统取数,见知,资金台账-融资贷款
2.净现金流,2.1指标清单,7,负债-融资贷款,金融机构,日/月,系统取数,见知,资金台账-融资贷款
2.净现金流,2.1指标清单,7,账户活期存款余额,,日/月,系统取数,见知,银行账户余额表
2.净现金流,2.1指标清单,7,账户到期理财,,日/月,系统取数,见知,资金台账-投资理财
2.净现金流,2.1指标清单,7,账户到期借款,,日/月,系统取数,见知,资金台账-融资贷款
3.营业收入,3.1指标清单,14,营业收入,,日,系统计算,,
3.营业收入,3.1指标清单,14,广告收入,,日,系统计算,,
3.营业收入,3.1指标清单,14,自营广告收入,,日,系统计算,,
3.营业收入,3.1指标清单,14,自营品牌收入,,日,系统取数,数据中台,单用户roi品牌营收数据表 ad_single_user_roi_brand_income
3.营业收入,3.1指标清单,14,自营电商收入,,日,系统取数,数据中台,单用户roi品牌营收数据表 ad_single_user_roi_brand_income
3.营业收入,3.1指标清单,14,自营效果收入,,日,系统取数,广告后台,效果日报收入数据 ad_contract_daily_income
3.营业收入,3.1指标清单,14,外包广告收入,,日,系统取数,,效果日报收入数据 ad_contract_daily_income
3.营业收入,3.1指标清单,14,联盟收入,,日,系统取数,,效果日报收入数据 ad_contract_daily_income
3.营业收入,3.1指标清单,14,DSP收入,,日,系统取数,,效果日报收入数据 ad_contract_daily_income
3.营业收入,3.1指标清单,14,TOB收入,,日,手工填报,管驾数仓,净利润日报app_fin_pl_detail_i_d
3.营业收入,3.1指标清单,14,会员收入,,日,系统取数,管驾数仓,净利润日报app_fin_pl_detail_i_d
3.营业收入,3.1指标清单,14,国际化收入,,日,系统取数,管驾数仓,净利润日报-国际化idm_fin_inter_a_d
3.营业收入,3.1指标清单,14,国际化广告收入,,日,系统取数,,净利润日报-国际化idm_fin_inter_a_d
3.营业收入,3.1指标清单,14,国际化会员收入,,日,系统取数,,净利润日报-国际化idm_fin_inter_a_d
3.营业收入,3.1指标清单,14,其他收入,,日,系统取数,,赋0值
3.营业收入,3.1指标清单,14,营业收入,,月,系统计算,,
3.营业收入,3.1指标清单,14,广告收入,,月,系统取数,财务tableua,损益明细凭证数据bidm.viz_dm_hs_pl_voucher_dtl
3.营业收入,3.1指标清单,14,自营广告收入,,月,系统取数,结算中台,损益明细凭证数据
3.营业收入,3.1指标清单,14,自营品牌收入,,月,系统取数,财务tableua,损益明细凭证数据
3.营业收入,3.1指标清单,14,自营电商收入,,月,系统取数,财务tableua,损益明细凭证数据
3.营业收入,3.1指标清单,14,自营效果收入,,月,系统取数,财务tableua,损益明细凭证数据
3.营业收入,3.1指标清单,14,外包广告收入,,月,系统取数,财务tableua,损益明细凭证数据
