normalized_table_name,layer,sources,pages,subsections,occurrences
ad.ad_contract_daily_income,,indicator_records;source_sql_records;warehouse_table_records,3.营业收入;4.营业收入-广告,3.3数据溯源;4.1指标清单,6
ad_contract_daily_income,,indicator_records,3.营业收入,3.1指标清单,4
ad_single_user_roi_brand_income,,indicator_records;source_sql_records;warehouse_table_records,3.营业收入,3.1指标清单;3.3数据溯源,4
ad_xsy_crm.ad_xsy_crm_account,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_contact,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_custom_entity1,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_custom_entity3,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_custom_entity4,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_department,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_entity_type,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_field_enum,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_opportunity,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_stage,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
ad_xsy_crm.ad_xsy_crm_user,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,10
baidu_search_index,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,3
bidm.viz_dm_hs_pl_voucher_dtl,,indicator_records,3.营业收入,3.1指标清单,1
da_moji.nyt_vip_entrance_funnel_1d,,indicator_records;source_sql_records;warehouse_table_records,5.营业收入-会员,5.1指标清单;5.3数据溯源,8
dm.dm_user_ltv_clv_i_d,,indicator_records;source_sql_records;warehouse_table_records,11.CLV;12.CLV-国内,11.1指标清单;11.3数据溯源;12.1指标清单;12.3数据溯源,54
dm.dm_user_member_type_i_d,,indicator_records,5.营业收入-会员,5.1指标清单,6
hscs_hspm.hspm_party_merchant,,indicator_records,3.营业收入,3.1指标清单,3
iscs_hsbm.hsar_settle_order_lines,,indicator_records;source_sql_records;warehouse_table_records,3.营业收入,3.1指标清单;3.3数据溯源,5
iscs_hsbm.hsar_settle_orders,,indicator_records;source_sql_records;warehouse_table_records,3.营业收入;4.营业收入-广告,3.1指标清单;3.3数据溯源;4.1指标清单,9
mojicom.ad_advertiser_req_fill_data,,indicator_records;source_sql_records;warehouse_table_records,4.营业收入-广告,4.1指标清单;4.3数据溯源,14
mojicom.ad_feed_inventory_dat,,source_sql_records;warehouse_table_records,4.营业收入-广告,4.3数据溯源,2
mojicom.adclick_adid_data,,source_sql_records;warehouse_table_records,4.营业收入-广告,4.3数据溯源,2
ods.ods_ad_positions,,indicator_records;source_sql_records;warehouse_table_records,4.营业收入-广告,4.1指标清单;4.3数据溯源,14
ods.ods_hd_member_delivery_channel,,indicator_records,5.营业收入-会员,5.1指标清单,6
ods_channel_consumption_hand_copy_report_d,,indicator_records;source_sql_records;warehouse_table_records,1.首页,1.1指标清单;1.3数据溯源,3
app_ad_achievement_status_a_d,APP,warehouse_table_records,3.营业收入;4.营业收入-广告,3.5 FineDataLink数仓;4.5 FineDataLink数仓,2
app_ad_achievement_status_a_m,APP,warehouse_table_records,3.营业收入;4.营业收入-广告,3.5 FineDataLink数仓;4.5 FineDataLink数仓,2
app_ad_d_revenue_a_d,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
app_ad_d_revenue_a_m,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
app_ad_evenue_completion_a_d,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
app_ad_impressions_a_d,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
app_ad_impressions_a_m,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
app_ad_inter_ad_a_d,APP,warehouse_table_records,6.营业收入-国际化广告;8.净利润,6.5 FineDataLink数仓;8.5 FineDataLink数仓,2
app_ad_inter_ad_m_d,APP,warehouse_table_records,6.营业收入-国际化广告,6.5 FineDataLink数仓,1
app_ad_operating_revenue_a_d,APP,warehouse_table_records,3.营业收入,3.5 FineDataLink数仓,1
app_ad_operating_revenue_a_m,APP,warehouse_table_records,3.营业收入,3.5 FineDataLink数仓,1
app_ad_revenue_a_d,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
app_ad_revenue_a_m,APP,warehouse_table_records,4.营业收入-广告,4.5 FineDataLink数仓,1
